"Examen1" "Examen2" "Examen3" "Definitiva"
"1" 8.6 18 17.7 2
"2" 9.8 14.5 17.2 2
"3" 16.8 17 16.7 3
"4" 6.8 11 0 1
"5" 4.6 14 17.4 2
"6" 8.6 21.5 13.9 2
"7" 5.8 0 0 1
"8" 6.4 25 17.8 3
"9" 8.4 10.5 0 1
"10" 11.8 22.5 19.7 3
"11" 12.8 23.5 19.2 3
"12" 17 22 16.9 3
"13" 3.8 0 0 1
"14" 14.6 4 11.1 2
"15" 3.6 8.5 0 1
"16" 3.8 18.5 13.1 2
"17" 7.2 7 4.8 1
"18" 8 28.5 16.3 3
"19" 1 0 0 1
"20" 8.6 31 9.6 3
"21" 13 31 25.4 4
"22" 6.4 23 20.7 3
"23" 21.2 16.5 16.9 3
"24" 6.4 23 20.7 3
"25" 7.2 12 5.6 1
"26" 20.8 32 7.8 3
"27" 10.2 3 9.3 1
"28" 20.6 17 12.6 3
