"Examen1" "Examen2" "Examen3" "Definitiva"
"1" 12 15 29 3 
"2" 12 14 18 2
"3" 10.5 20 26 2  
"4" 10 30.5 28.5 4
"5" 5.5 29.5 20 3
"6" 0 0 0 1
"7" 6 18 18.5 2
"8" 19.5 19 0 2
"9" 10 23 23 3
"10" 10 28 30.5 3
"11" 4 29 8.5 2
"12" 11.5 18 20 2
"13" 10 12 0 1
"14" 15.5 32 24 4
"15" 11 22 25 3
"16" 9.5  21.5 18 2
"17" 19 23.5 14 3
"18" 7 16 14 2
"19" 11 24.5 20 3
"20" 24 29 32 5
"21" 11.5 28 14 3
"22" 6 0 0 1
"23" 10 23 29.5 3
"24" 15 30 20 3
"25" 18 32.5 30.5 4
"26" 5 22 25 3
"27" 18.5 30.5 38 5
"28" 16 28 35 4
